a230921_H96140234_HumiditySTDs_HMPs,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,50,0,15,10,15
2,180,0,0.1,10,15
3,50,0,0.1,31,15
4,50,0,0.1,52,15
5,50,0,0.1,73,15
6,90,0,0.1,95,15
7,50,0,0.1,73,15
8,50,0,0.1,52,15
9,50,0,0.1,31,15
10,50,0,0.1,10,15
11,180,0,15,10,15
12,50,0,15,31,15
13,50,0,15,52,15
14,50,0,15,73,15
15,90,0,15,95,15
16,50,0,15,73,15
17,50,0,15,52,15
18,50,0,15,31,15
19,50,0,15,10,15
20,180,0,30,10,15
21,50,0,30,31,15
22,50,0,30,52,15
23,50,0,30,73,15
24,90,0,30,95,15
25,50,0,30,73,15
26,50,0,30,52,15
27,50,0,30,31,15
28,50,0,30,10,15
29,180,0,45,10,15
30,50,0,45,31,15
31,50,0,45,52,15
32,50,0,45,73,15
33,90,0,45,95,15
34,50,0,45,73,15
35,50,0,45,52,15
36,50,0,45,31,15
37,50,0,45,10,15
38,180,0,60,10,15
39,50,0,60,31,15
40,50,0,60,52,15
41,50,0,60,73,15
42,90,0,60,95,15
43,50,0,60,73,15
44,50,0,60,52,15
45,50,0,60,31,15
46,50,0,60,10,15
47,180,0,45,10,15
48,50,0,45,31,15
49,50,0,45,52,15
50,50,0,45,73,15
51,90,0,45,95,15
52,50,0,45,73,15
53,50,0,45,52,15
54,50,0,45,31,15
55,50,0,45,10,15
56,180,0,30,10,15
57,50,0,30,31,15
58,50,0,30,52,15
59,50,0,30,73,15
60,90,0,30,95,15
61,50,0,30,73,15
62,50,0,30,52,15
63,50,0,30,31,15
64,50,0,30,10,15
65,180,0,15,10,15
66,50,0,15,31,15
67,50,0,15,52,15
68,50,0,15,73,15
69,90,0,15,95,15
70,50,0,15,73,15
71,50,0,15,52,15
72,50,0,15,31,15
73,50,0,15,10,15
