a240306_hysteresischeck_b.csv,,,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,,
1,240,0,0.1,10,15,,,
2,60,0,0.1,15,15,,,
3,60,0,0.1,20,15,,,
4,60,0,0.1,25,15,,,
5,60,0,0.1,30,15,,,
6,60,0,0.1,35,15,,,
7,60,0,0.1,40,15,,,
8,60,0,0.1,45,15,,,
9,60,0,0.1,50,15,,,
10,60,0,0.1,55,15,,,
11,60,0,0.1,60,15,,,
12,60,0,0.1,65,15,,,
13,60,0,0.1,70,15,,,
14,60,0,0.1,75,15,,,
15,60,0,0.1,80,15,,,
16,60,0,0.1,85,15,,,
17,60,0,0.1,90,15,,,
18,60,0,0.1,95,15,,,
19,60,0,0.1,90,15,,,
20,60,0,0.1,85,15,,,
21,60,0,0.1,80,15,,,
22,60,0,0.1,75,15,,,
23,60,0,0.1,70,15,,,
24,60,0,0.1,65,15,,,
25,60,0,0.1,60,15,,,
26,60,0,0.1,55,15,,,
27,60,0,0.1,50,15,,,
28,60,0,0.1,45,15,,,
29,60,0,0.1,40,15,,,
30,60,0,0.1,35,15,,,
31,60,0,0.1,30,15,,,
32,60,0,0.1,25,15,,,
33,60,0,0.1,20,15,,,
34,60,0,0.1,15,15,,,
35,60,0,0.1,10,15,,,
36,60,0,0.1,10,15,,,
37,600,0,0.1,52,15,,,
38,600,0,0.1,95,15,,,
39,600,0,0.1,52,15,,,
40,600,0,0.1,10,15,,,
41,60,0,0.1,35,15,,,
42,60,0,0.1,40,15,,,
43,60,0,0.1,45,15,,,
44,60,0,0.1,50,15,,,
45,60,0,0.1,45,15,,,
46,60,0,0.1,40,15,,,
47,60,0,0.1,35,15,,,
48,60,0,0.1,30,15,,,
49,60,0,0.1,25,15,,,
50,60,0,0.1,20,15,,,
51,60,0,0.1,15,15,,,
52,60,0,0.1,10,15,,,
53,60,0,0.1,15,15,,,
54,60,0,0.1,25,15,,,
55,60,0,0.1,30,15,,,
56,60,0,0.1,35,15,,,
57,60,0,0.1,40,15,,,
58,60,0,0.1,45,15,,,
59,60,0,0.1,50,15,,,
60,60,0,0.1,45,15,,,
61,60,0,0.1,40,15,,,
62,60,0,0.1,35,15,,,
63,60,0,0.1,40,15,,,
64,60,0,0.1,45,15,,,
65,60,0,0.1,50,15,,,
66,60,0,0.1,55,15,,,
67,60,0,0.1,60,15,,,
68,60,0,0.1,65,15,,,
69,60,0,0.1,70,15,,,
70,60,0,0.1,75,15,,,
71,60,0,0.1,80,15,,,
72,60,0,0.1,85,15,,,
73,60,0,0.1,90,15,,,
74,60,0,0.1,95,15,,,
75,60,0,0.1,90,15,,,
76,60,0,0.1,85,15,,,
77,60,0,0.1,80,15,,,
78,60,0,0.1,75,15,,,
79,60,0,0.1,70,15,,,
80,60,0,0.1,65,15,,,
81,60,0,0.1,70,15,,,
82,60,0,0.1,75,15,,,
83,60,0,0.1,80,15,,,
84,60,0,0.1,85,15,,,
85,60,0,0.1,90,15,,,
86,60,0,0.1,95,15,,,
87,60,0,0.1,90,15,,,
88,60,0,0.1,85,15,,,
89,60,0,0.1,80,15,,,
90,60,0,0.1,75,15,,,
91,60,0,0.1,70,15,,,
92,60,0,0.1,65,15,,,
93,60,0,0.1,60,15,,,
94,60,0,0.1,55,15,,,
95,60,0,0.1,50,15,,,
96,60,0,0.1,45,15,,,
97,60,0,0.1,40,15,,,
98,60,0,0.1,35,15,,,
99,60,0,0.1,40,15,,,
100,60,0,0.1,45,15,,,
101,60,0,0.1,50,15,,,
102,60,0,0.1,55,15,,,
103,60,0,0.1,60,15,,,
104,60,0,0.1,65,15,,,
105,60,0,0.1,70,15,,,
106,60,0,0.1,65,15,,,
107,60,0,0.1,60,15,,,
108,60,0,0.1,55,15,,,
109,60,0,0.1,50,15,,,
110,60,0,0.1,45,15,,,
111,60,0,0.1,40,15,,,
112,60,0,0.1,35,15,,,
113,60,0,0.1,30,15,,,
114,60,0,0.1,25,15,,,
115,60,0,0.1,20,15,,,
116,60,0,0.1,15,15,,,
117,60,0,0.1,10,15,,,
