a240310_hysteresischeck_d.csv,,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,
1,240,0,0.1,10,15,,
2,5,0,0.1,11,15,,
3,5,0,0.1,12,15,,
4,5,0,0.1,13,15,,
5,5,0,0.1,14,15,,
6,5,0,0.1,15,15,,
7,5,0,0.1,16,15,,
8,5,0,0.1,17,15,,
9,5,0,0.1,18,15,,
10,5,0,0.1,19,15,,
11,5,0,0.1,20,15,,
12,5,0,0.1,21,15,,
13,5,0,0.1,22,15,,
14,5,0,0.1,23,15,,
15,5,0,0.1,24,15,,
16,5,0,0.1,25,15,,
17,5,0,0.1,26,15,,
18,5,0,0.1,27,15,,
19,5,0,0.1,28,15,,
20,5,0,0.1,29,15,,
21,5,0,0.1,30,15,,
22,5,0,0.1,31,15,,
23,5,0,0.1,32,15,,
24,5,0,0.1,33,15,,
25,5,0,0.1,34,15,,
26,5,0,0.1,35,15,,
27,5,0,0.1,36,15,,
28,5,0,0.1,37,15,,
29,5,0,0.1,38,15,,
30,5,0,0.1,39,15,,
31,5,0,0.1,40,15,,
32,5,0,0.1,41,15,,
33,5,0,0.1,42,15,,
34,5,0,0.1,43,15,,
35,5,0,0.1,44,15,,
36,5,0,0.1,45,15,,
37,5,0,0.1,46,15,,
38,5,0,0.1,47,15,,
39,5,0,0.1,48,15,,
40,5,0,0.1,49,15,,
41,5,0,0.1,50,15,,
42,5,0,0.1,51,15,,
43,5,0,0.1,52,15,,
44,5,0,0.1,53,15,,
45,5,0,0.1,54,15,,
46,5,0,0.1,55,15,,
47,5,0,0.1,56,15,,
48,5,0,0.1,57,15,,
49,5,0,0.1,58,15,,
50,5,0,0.1,59,15,,
51,5,0,0.1,60,15,,
52,5,0,0.1,61,15,,
53,5,0,0.1,62,15,,
54,5,0,0.1,63,15,,
55,5,0,0.1,64,15,,
56,5,0,0.1,65,15,,
57,5,0,0.1,66,15,,
58,5,0,0.1,67,15,,
59,5,0,0.1,68,15,,
60,5,0,0.1,69,15,,
61,5,0,0.1,70,15,,
62,5,0,0.1,71,15,,
63,5,0,0.1,72,15,,
64,5,0,0.1,73,15,,
65,5,0,0.1,74,15,,
66,5,0,0.1,75,15,,
67,5,0,0.1,76,15,,
68,5,0,0.1,77,15,,
69,5,0,0.1,78,15,,
70,5,0,0.1,79,15,,
71,5,0,0.1,80,15,,
72,5,0,0.1,81,15,,
73,5,0,0.1,82,15,,
74,5,0,0.1,83,15,,
75,5,0,0.1,84,15,,
76,5,0,0.1,85,15,,
77,5,0,0.1,86,15,,
78,5,0,0.1,87,15,,
79,5,0,0.1,88,15,,
80,5,0,0.1,89,15,,
81,5,0,0.1,90,15,,
82,5,0,0.1,91,15,,
83,5,0,0.1,92,15,,
84,5,0,0.1,93,15,,
85,5,0,0.1,94,15,,
86,5,0,0.1,95,15,,
87,5,0,0.1,95,15,,
88,5,0,0.1,94,15,,
89,5,0,0.1,93,15,,
90,5,0,0.1,92,15,,
91,5,0,0.1,91,15,,
92,5,0,0.1,90,15,,
93,5,0,0.1,89,15,,
94,5,0,0.1,88,15,,
95,5,0,0.1,87,15,,
96,5,0,0.1,86,15,,
97,5,0,0.1,85,15,,
98,5,0,0.1,84,15,,
99,5,0,0.1,83,15,,
100,5,0,0.1,82,15,,
101,5,0,0.1,81,15,,
102,5,0,0.1,80,15,,
103,5,0,0.1,79,15,,
104,5,0,0.1,78,15,,
105,5,0,0.1,77,15,,
106,5,0,0.1,76,15,,
107,5,0,0.1,75,15,,
108,5,0,0.1,74,15,,
109,5,0,0.1,73,15,,
110,5,0,0.1,72,15,,
111,5,0,0.1,71,15,,
112,5,0,0.1,70,15,,
113,5,0,0.1,69,15,,
114,5,0,0.1,68,15,,
115,5,0,0.1,67,15,,
116,5,0,0.1,66,15,,
117,5,0,0.1,65,15,,
118,5,0,0.1,64,15,,
119,5,0,0.1,63,15,,
120,5,0,0.1,62,15,,
121,5,0,0.1,61,15,,
122,5,0,0.1,60,15,,
123,5,0,0.1,59,15,,
124,5,0,0.1,58,15,,
125,5,0,0.1,57,15,,
126,5,0,0.1,56,15,,
127,5,0,0.1,55,15,,
128,5,0,0.1,54,15,,
129,5,0,0.1,53,15,,
130,5,0,0.1,52,15,,
131,5,0,0.1,51,15,,
132,5,0,0.1,50,15,,
133,5,0,0.1,49,15,,
134,5,0,0.1,48,15,,
135,5,0,0.1,47,15,,
136,5,0,0.1,46,15,,
137,5,0,0.1,45,15,,
138,5,0,0.1,44,15,,
139,5,0,0.1,43,15,,
140,5,0,0.1,42,15,,
141,5,0,0.1,41,15,,
142,5,0,0.1,40,15,,
143,5,0,0.1,39,15,,
144,5,0,0.1,38,15,,
145,5,0,0.1,37,15,,
146,5,0,0.1,36,15,,
147,5,0,0.1,35,15,,
148,5,0,0.1,34,15,,
149,5,0,0.1,33,15,,
150,5,0,0.1,32,15,,
151,5,0,0.1,31,15,,
152,5,0,0.1,30,15,,
153,5,0,0.1,29,15,,
154,5,0,0.1,28,15,,
155,5,0,0.1,27,15,,
156,5,0,0.1,26,15,,
157,5,0,0.1,25,15,,
158,5,0,0.1,24,15,,
159,5,0,0.1,23,15,,
160,5,0,0.1,22,15,,
161,5,0,0.1,21,15,,
162,5,0,0.1,20,15,,
163,5,0,0.1,19,15,,
164,5,0,0.1,18,15,,
165,5,0,0.1,17,15,,
166,5,0,0.1,16,15,,
167,5,0,0.1,15,15,,
168,5,0,0.1,14,15,,
169,5,0,0.1,13,15,,
170,5,0,0.1,12,15,,
171,5,0,0.1,11,15,,
172,5,0,0.1,10,15,,
