a240310_hysteresischeck_d.csv,,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,
1,240,0,0.1,10,15,,
2,25,0,0.1,15,15,,
3,25,0,0.1,20,15,,
4,25,0,0.1,25,15,,
5,25,0,0.1,30,15,,
6,25,0,0.1,35,15,,
7,25,0,0.1,40,15,,
8,25,0,0.1,45,15,,
9,25,0,0.1,50,15,,
10,25,0,0.1,55,15,,
11,25,0,0.1,60,15,,
12,25,0,0.1,65,15,,
13,25,0,0.1,70,15,,
14,25,0,0.1,75,15,,
15,25,0,0.1,80,15,,
16,25,0,0.1,85,15,,
17,25,0,0.1,90,15,,
18,25,0,0.1,95,15,,
19,25,0,0.1,95,15,,
20,25,0,0.1,90,15,,
21,25,0,0.1,85,15,,
22,25,0,0.1,80,15,,
23,25,0,0.1,75,15,,
24,25,0,0.1,70,15,,
25,25,0,0.1,65,15,,
26,25,0,0.1,60,15,,
27,25,0,0.1,55,15,,
28,25,0,0.1,50,15,,
29,25,0,0.1,45,15,,
30,25,0,0.1,40,15,,
31,25,0,0.1,35,15,,
32,25,0,0.1,30,15,,
33,25,0,0.1,25,15,,
34,25,0,0.1,20,15,,
35,25,0,0.1,15,15,,
36,25,0,0.1,10,15,,
37,25,0,0.1,10,15,,
38,25,0,0.1,15,15,,
39,25,0,0.1,20,15,,
40,25,0,0.1,25,15,,
41,25,0,0.1,30,15,,
42,25,0,0.1,35,15,,
43,25,0,0.1,40,15,,
44,25,0,0.1,45,15,,
45,25,0,0.1,50,15,,
46,25,0,0.1,55,15,,
47,25,0,0.1,60,15,,
48,25,0,0.1,65,15,,
49,25,0,0.1,70,15,,
50,25,0,0.1,70,15,,
51,25,0,0.1,65,15,,
52,25,0,0.1,60,15,,
53,25,0,0.1,55,15,,
54,25,0,0.1,50,15,,
55,25,0,0.1,45,15,,
56,25,0,0.1,40,15,,
57,25,0,0.1,35,15,,
58,25,0,0.1,30,15,,
59,25,0,0.1,35,15,,
60,25,0,0.1,40,15,,
61,25,0,0.1,45,15,,
62,25,0,0.1,50,15,,
63,25,0,0.1,50,15,,
64,25,0,0.1,45,15,,
65,25,0,0.1,40,15,,
66,25,0,0.1,45,15,,
67,25,0,0.1,50,15,,
68,25,0,0.1,55,15,,
69,25,0,0.1,60,15,,
70,25,0,0.1,65,15,,
71,25,0,0.1,70,15,,
72,25,0,0.1,75,15,,
73,25,0,0.1,80,15,,
74,25,0,0.1,85,15,,
75,25,0,0.1,90,15,,
76,25,0,0.1,95,15,,
77,25,0,0.1,95,15,,
78,25,0,0.1,90,15,,
79,25,0,0.1,85,15,,
80,25,0,0.1,80,15,,
81,25,0,0.1,75,15,,
82,25,0,0.1,70,,,
83,25,0,0.1,65,,,
84,25,0,0.1,60,,,
85,25,0,0.1,55,,,
86,25,0,0.1,55,,,
87,25,0,0.1,60,,,
88,25,0,0.1,65,,,
89,25,0,0.1,70,,,
90,25,0,0.1,75,,,
91,25,0,0.1,80,,,
92,25,0,0.1,80,,,
93,25,0,0.1,75,,,
94,25,0,0.1,70,,,
95,25,0,0.1,65,,,
96,25,0,0.1,65,,,
97,25,0,0.1,70,,,
98,25,0,0.1,70,,,
99,25,0,0.1,65,,,
100,25,0,0.1,60,,,
101,25,0,0.1,55,,,
102,25,0,0.1,50,,,
103,25,0,0.1,45,,,
104,25,0,0.1,40,,,
105,25,0,0.1,35,,,
106,25,0,0.1,30,,,
107,25,0,0.1,25,,,
108,25,0,0.1,20,,,
109,25,0,0.1,15,,,
110,25,0,0.1,10,,,
