a240310_hysteresischeck_f.csv,,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,
1,180,0,10,10,15,,
2,180,0,10,20,15,,
3,180,0,10,30,15,,
4,180,0,10,40,15,,
5,180,0,10,50,15,,
6,180,0,10,60,,,
7,180,0,10,70,,,
8,180,0,10,80,,,
9,180,0,10,80,,,
10,9,0,10,70,,,
11,180,0,10,60,,,
12,180,0,10,50,,,
13,180,0,10,40,,,
14,180,0,10,30,,,
15,180,0,10,20,,,
16,180,0,10,10,,,
17,180,0,10,10,,,
18,180,0,10,20,,,
19,180,0,10,30,,,
20,180,0,10,40,,,
21,180,0,10,50,,,
22,180,0,10,60,,,
23,180,0,10,70,,,
24,180,0,10,80,,,
25,180,0,10,90,,,
26,180,0,10,95,,,
27,180,0,10,95,,,
28,180,0,10,90,,,
29,180,0,10,80,,,
30,180,0,10,70,,,
31,180,0,10,60,,,
32,180,0,10,50,,,
33,180,0,10,40,,,
34,180,0,10,30,,,
35,180,0,10,20,,,
36,180,0,10,10,,,
37,180,0,10,10,,,
38,180,0,10,20,,,
39,180,0,10,30,,,
40,180,0,10,40,,,
41,180,0,10,50,,,
42,180,0,10,60,,,
43,180,0,10,60,,,
44,180,0,10,50,,,
45,180,0,10,40,,,
46,180,0,10,30,,,
47,180,0,10,20,,,
48,180,0,10,10,,,
49,180,0,10,10,,,
50,180,0,10,20,,,
51,180,0,10,30,,,
52,180,0,10,40,,,
53,180,0,10,50,,,
54,180,0,10,60,,,
55,180,0,10,70,,,
56,180,0,10,80,,,
57,180,0,10,90,,,
58,180,0,10,95,,,
59,180,0,10,95,,,
60,180,0,10,90,,,
61,180,0,10,80,,,
62,180,0,10,70,,,
63,180,0,10,60,,,
64,180,0,10,50,,,
65,180,0,10,50,,,
66,180,0,10,60,,,
67,180,0,10,70,,,
68,180,0,10,80,,,
69,180,0,10,90,,,
70,180,0,10,95,,,
71,180,0,10,95,,,
72,180,0,10,90,,,
73,180,0,10,80,,,
74,180,0,10,70,,,
75,180,0,10,60,,,
76,180,0,10,50,,,
77,180,0,10,60,,,
78,180,0,10,50,,,
79,180,0,10,50,,,
80,180,0,10,60,,,
81,180,0,10,70,,,
82,180,0,10,80,,,
83,180,0,10,90,,,
84,180,0,10,95,,,
85,180,0,10,95,,,
86,180,0,10,90,,,
87,180,0,10,80,,,
88,180,0,10,70,,,
89,180,0,10,60,,,
90,180,0,10,50,,,
91,180,0,10,50,,,
92,180,0,10,60,,,
93,180,0,10,70,,,
94,180,0,10,80,,,
95,180,0,10,90,,,
96,180,0,10,95,,,
97,180,0,10,95,,,
98,180,0,10,90,,,
99,180,0,10,80,,,
100,180,0,10,70,,,
101,180,0,10,60,,,
102,180,0,10,50,,,
103,180,0,10,40,,,
104,180,0,10,30,,,
105,180,0,10,20,,,
106,180,0,10,10,,,
107,180,0,10,10,,,
108,180,0,10,10,,,
109,180,0,10,10,,,
110,180,0,10,10,,,
