a240808_TempRecord_Logger.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,20,10,20
2,50,0,20,27,20
3,50,0,20,44,20
4,50,0,20,61,20
5,50,0,20,78,20
6,90,0,20,95,20
7,50,0,20,78,20
8,50,0,20,61,20
9,50,0,20,44,20
10,50,0,20,27,20
11,90,0,20,10,20
12,180,0,0.1,10,20
13,50,0,0.1,27,20
14,50,0,0.1,44,20
15,50,0,0.1,61,20
16,50,0,0.1,78,20
17,90,0,0.1,95,20
18,50,0,0.1,78,20
19,50,0,0.1,61,20
20,50,0,0.1,44,20
21,50,0,0.1,27,20
22,90,0,0.1,10,20
23,180,0,10,10,20
24,50,0,10,27,20
25,50,0,10,44,20
26,50,0,10,61,20
27,50,0,10,78,20
28,90,0,10,95,20
29,50,0,10,78,20
30,50,0,10,61,20
31,50,0,10,44,20
32,50,0,10,27,20
33,90,0,10,10,20
34,180,0,20,10,20
35,50,0,20,27,20
36,50,0,20,44,20
37,50,0,20,61,20
38,50,0,20,78,20
39,90,0,20,95,20
40,50,0,20,78,20
41,50,0,20,61,20
42,50,0,20,44,20
43,50,0,20,27,20
44,90,0,20,10,20
45,180,0,30,10,20
46,50,0,30,27,20
47,50,0,30,44,20
48,50,0,30,61,20
49,50,0,30,78,20
50,90,0,30,95,20
51,50,0,30,78,20
52,50,0,30,61,20
53,50,0,30,44,20
54,50,0,30,27,20
55,90,0,30,10,20
56,180,0,40,10,20
57,50,0,40,27,20
58,50,0,40,44,20
59,50,0,40,61,20
60,50,0,40,78,20
61,90,0,40,95,20
62,50,0,40,78,20
63,50,0,40,61,20
64,50,0,40,44,20
65,50,0,40,27,20
66,90,0,40,10,20
67,180,0,20,10,20
68,50,0,20,27,20
69,50,0,20,44,20
70,50,0,20,61,20
71,50,0,20,78,20
72,90,0,20,95,20
73,50,0,20,78,20
74,50,0,20,61,20
75,50,0,20,44,20
76,50,0,20,27,20
77,90,0,20,10,20
