aG3cycling_temperatureppm.csv,,,,,,
Points,Soak,Assured,G3ppmv,G3 flow 1,G3 flow 2,G3 flow 3
,,,HGG3.set_ppmv,HGG3.set_q1,HGG3.set_q2,HGG3.set_q3
1,30,0,1,3,0,0.8
2,30,0,5,3,0,0.8
3,30,0,20,3,0,0.8
4,30,0,50,3,0,0.8
5,30,0,100,3,0,0.8
6,30,0,200,3,0,0.8
7,30,0,300,3,0,0.8
8,30,0,400,3,0,0.8
9,30,0,500,3,0,0.8
10,30,0,750,3,0,0.8
11,30,0,1000,3,0,0.8
12,30,0,1250,3,0,0.8
13,30,0,1500,3,0,0.8
14,30,0,2000,3,0,0.8
15,30,0,4000,3,0,0.8
16,30,0,2000,3,0,0.8
17,30,0,1500,3,0,0.8
18,30,0,1250,3,0,0.8
19,30,0,1000,3,0,0.8
20,30,0,750,3,0,0.8
21,30,0,500,3,0,0.8
22,30,0,400,3,0,0.8
23,30,0,300,3,0,0.8
24,30,0,200,3,0,0.8
25,30,0,100,3,0,0.8
26,30,0,50,3,0,0.8
27,30,0,20,3,0,0.8
28,30,0,5,3,0,0.8
29,30,0,1,3,0,0.8
