aH96140231_LightSTDs_Omega,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,15,30,15
2,50,0,15,40,15
3,50,0,15,50,15
4,50,0,15,60,15
5,50,0,15,70,15
6,90,0,15,80,15
7,50,0,15,70,15
8,50,0,15,60,15
9,50,0,15,50,15
10,50,0,15,40,15
11,90,0,15,30,15
12,180,0,20,30,15
13,50,0,20,40,15
14,50,0,20,50,15
15,50,0,20,60,15
16,50,0,20,70,15
17,90,0,20,80,15
18,50,0,20,70,15
19,50,0,20,60,15
20,50,0,20,50,15
21,50,0,20,40,15
22,90,0,20,30,15
23,180,0,25,30,15
24,50,0,25,40,15
25,50,0,25,50,15
26,50,0,25,60,15
27,50,0,25,70,15
28,90,0,25,80,15
29,50,0,25,70,15
30,50,0,25,60,15
31,50,0,25,50,15
32,50,0,25,40,15
33,90,0,25,30,15
34,180,0,20,30,15
35,50,0,20,40,15
36,50,0,20,50,15
37,50,0,20,60,15
38,50,0,20,70,15
39,90,0,20,80,15
40,50,0,20,70,15
41,50,0,20,60,15
42,50,0,20,50,15
43,50,0,20,40,15
44,90,0,20,30,15
