aH96140234_MSL_humidity_standards,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,20,10,20
2,50,0,20,27,20
3,50,0,20,44,20
4,50,0,20,61,20
5,50,0,20,78,20
6,90,0,20,95,20
7,50,0,20,78,20
8,50,0,20,61,20
9,50,0,20,44,20
10,50,0,20,27,20
11,50,0,20,10,20
12,300,0,10,10,20
13,50,0,10,27,20
14,50,0,10,44,20
15,50,0,10,61,20
16,50,0,10,78,20
17,90,0,10,95,20
18,50,0,10,78,20
19,50,0,10,61,20
20,50,0,10,44,20
21,50,0,10,27,20
22,50,0,10,10,20
23,300,0,0.5,10,20
24,50,0,0.5,27,20
25,50,0,0.5,44,20
26,50,0,0.5,61,20
27,50,0,0.5,78,20
28,90,0,0.5,95,20
29,50,0,0.5,78,20
30,50,0,0.5,61,20
31,50,0,0.5,44,20
32,50,0,0.5,27,20
33,50,0,0.5,10,20
34,300,0,-10,10,10
35,50,0,-10,27,10
36,50,0,-10,44,10
37,50,0,-10,61,10
38,50,0,-10,78,10
39,90,0,10,10,10
40,150,0,-10,78,10
41,150,0,-10,95,10
42,50,0,-10,78,10
43,50,0,-10,61,10
44,50,0,-10,44,10
45,50,0,-10,27,10
46,90,0,-10,10,10
47,180,0,0.5,10,20
48,50,0,0.5,27,20
49,50,0,0.5,44,20
50,50,0,0.5,61,20
51,50,0,0.5,78,20
52,90,0,0.5,95,20
53,50,0,0.5,78,20
54,50,0,0.5,61,20
55,50,0,0.5,44,20
56,50,0,0.5,27,20
57,50,0,0.5,10,20
58,180,0,20,10,20
59,50,0,20,27,20
60,50,0,20,44,20
61,50,0,20,61,20
62,50,0,20,78,20
63,90,0,20,95,20
64,50,0,20,78,20
65,50,0,20,61,20
66,50,0,20,44,20
67,50,0,20,27,20
68,50,0,20,10,20
69,180,0,40,10,20
70,50,0,40,27,20
71,50,0,40,44,20
72,50,0,40,61,20
73,50,0,40,78,20
74,90,0,40,95,20
75,50,0,40,78,20
76,50,0,40,61,20
77,50,0,40,44,20
78,50,0,40,27,20
79,50,0,40,10,20
80,180,0,60,10,20
81,50,0,60,27,20
82,50,0,60,44,20
83,50,0,60,61,20
84,50,0,60,78,20
85,90,0,60,95,20
86,50,0,60,78,20
87,50,0,60,61,20
88,50,0,60,44,20
89,50,0,60,27,20
90,50,0,60,10,20
91,180,0,70,10,20
92,50,0,70,27,20
93,50,0,70,44,20
94,50,0,70,61,20
95,50,0,70,78,20
96,90,0,70,95,20
97,50,0,70,78,20
98,50,0,70,61,20
99,50,0,70,44,20
100,50,0,70,27,20
101,50,0,70,10,20
102,300,0,40,10,20
103,50,0,40,27,20
104,50,0,40,44,20
105,50,0,40,61,20
106,50,0,40,78,20
107,90,0,40,95,20
108,50,0,40,78,20
109,50,0,40,61,20
110,50,0,40,44,20
111,50,0,40,27,20
112,50,0,40,10,20
113,300,0,35,10,20
114,50,0,35,27,20
115,50,0,35,44,20
116,50,0,35,61,20
117,50,0,35,78,20
118,90,0,35,95,20
119,50,0,35,78,20
120,50,0,35,61,20
121,50,0,35,44,20
122,50,0,35,27,20
123,50,0,35,10,20
124,300,0,30,10,20
125,50,0,30,27,20
126,50,0,30,44,20
127,50,0,30,61,20
128,50,0,30,78,20
129,90,0,30,95,20
130,50,0,30,78,20
131,50,0,30,61,20
132,50,0,30,44,20
133,50,0,30,27,20
134,50,0,30,10,20
135,300,0,25,10,20
136,50,0,25,27,20
137,50,0,25,44,20
138,50,0,25,61,20
139,50,0,25,78,20
140,90,0,25,95,20
141,50,0,25,78,20
142,50,0,25,61,20
143,50,0,25,44,20
144,50,0,25,27,20
145,50,0,25,10,20
146,300,0,20,10,20
147,50,0,20,27,20
148,50,0,20,44,20
149,50,0,20,61,20
150,50,0,20,78,20
151,90,0,20,95,20
152,50,0,20,78,20
153,50,0,20,61,20
154,50,0,20,44,20
155,50,0,20,27,20
156,50,0,20,10,20
157,300,0,20,10,20
158,50,0,20,27,20
159,50,0,20,44,20
160,50,0,20,61,20
161,50,0,20,78,20
162,90,0,20,95,20
163,50,0,20,78,20
164,50,0,20,61,20
165,50,0,20,44,20
166,50,0,20,27,20
167,50,0,20,10,20
168,300,0,20,10,20
169,50,0,20,27,20
170,50,0,20,44,20
171,50,0,20,61,20
172,50,0,20,78,20
173,90,0,20,95,20
174,50,0,20,78,20
175,50,0,20,61,20
176,50,0,20,44,20
177,50,0,20,27,20
178,50,0,20,10,20
