aH96140234_UL_HMT337,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,20,25,20
2,50,0,20,39,20
3,50,0,20,53,20
4,50,0,20,67,20
5,50,0,20,81,20
6,90,0,20,95,20
7,50,0,20,81,20
8,50,0,20,67,20
9,50,0,20,53,20
10,50,0,20,39,20
11,90,0,20,25,20
12,180,0,30,25,20
13,50,0,30,39,20
14,50,0,30,53,20
15,50,0,30,67,20
16,50,0,30,81,20
17,90,0,30,95,20
18,50,0,30,81,20
19,50,0,30,67,20
20,50,0,30,53,20
21,50,0,30,39,20
22,90,0,30,25,20
23,180,0,40,25,20
24,50,0,40,39,20
25,50,0,40,53,20
26,50,0,40,67,20
27,50,0,40,81,20
28,90,0,40,95,20
29,50,0,40,81,20
30,50,0,40,67,20
31,50,0,40,53,20
32,50,0,40,39,20
33,90,0,40,25,20
34,180,0,30,25,20
35,50,0,30,39,20
36,50,0,30,53,20
37,50,0,30,67,20
38,50,0,30,81,20
39,90,0,30,95,20
40,50,0,30,81,20
41,50,0,30,67,20
42,50,0,30,53,20
43,50,0,30,39,20
44,90,0,30,25,20
