aH96140237_ElectricalSTDs_HMTs_HiREsol,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,90,0,20,30,30
2,90,0,20,42.5,30
3,90,0,20,55,30
4,90,0,20,67.5,30
5,90,0,20,80,30
6,90,0,20,67.5,30
7,90,0,20,55,30
8,90,0,20,42.5,30
9,90,0,20,30,30
10,180,0,25,30,30
11,90,0,25,42.5,30
12,90,0,25,55,30
13,90,0,25,67.5,30
14,90,0,25,80,30
15,90,0,25,67.5,30
16,90,0,25,55,30
17,90,0,25,42.5,30
18,90,0,25,30,30
19,180,0,15,30,30
20,90,0,15,42.5,30
21,90,0,15,55,30
22,90,0,15,67.5,30
23,90,0,15,80,30
24,90,0,15,67.5,30
25,90,0,15,55,30
26,90,0,15,42.5,30
27,90,0,15,30,30
28,180,0,20,30,30
