aH96140240_20231110_LogTag_Optidew.csv,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,300,0,0,10,20
2,50,0,0,31,20
3,50,0,0,52,20
4,50,0,0,74,20
5,90,0,0,95,20
6,50,0,0,74,20
7,50,0,0,52,20
8,50,0,0,31,20
9,50,0,0,10,20
10,180,0,10,10,20
11,50,0,10,31,20
12,50,0,10,52,20
13,50,0,10,74,20
14,90,0,10,95,20
15,50,0,10,74,20
16,50,0,10,52,20
17,50,0,10,31,20
18,50,0,10,10,20
19,180,0,20,10,20
20,50,0,20,31,20
21,50,0,20,52,20
22,50,0,20,74,20
23,90,0,20,95,20
24,50,0,20,74,20
25,50,0,20,52,20
26,50,0,20,31,20
27,50,0,20,10,20
28,180,0,30,10,20
29,50,0,30,31,20
30,50,0,30,52,20
31,50,0,30,74,20
32,90,0,30,95,20
33,50,0,30,74,20
34,50,0,30,52,20
35,50,0,30,31,20
36,50,0,30,10,20
37,180,0,42,10,20
38,50,0,42,31,20
39,50,0,42,52,20
40,50,0,42,74,20
41,90,0,42,95,20
42,50,0,42,74,20
43,50,0,42,52,20
44,50,0,42,31,20
45,50,0,42,10,20
46,300,0,30,10,20
47,50,0,30,31,20
48,50,0,30,52,20
49,50,0,30,74,20
50,90,0,30,95,20
51,50,0,30,74,20
52,50,0,30,52,20
53,50,0,30,31,20
54,50,0,30,10,20
55,300,0,20,10,20
56,50,0,20,31,20
57,50,0,20,52,20
58,50,0,20,74,20
59,90,0,20,95,20
60,50,0,20,74,20
61,50,0,20,52,20
62,50,0,20,31,20
63,50,0,20,10,20
