aH96140242_HumiditySTDs_HMP&HMT,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,20,10,15
2,50,0,20,38,15
3,50,0,20,67,15
4,90,0,20,95,15
5,50,0,20,67,15
6,50,0,20,38,15
7,50,0,20,10,15
8,300,0,0,10,15
9,50,0,0,38,15
10,50,0,0,67,15
11,90,0,0,95,15
12,50,0,0,67,15
13,50,0,0,38,15
14,50,0,0,10,15
15,180,0,20,10,15
16,50,0,20,38,15
17,50,0,20,67,15
18,90,0,20,95,15
19,50,0,20,67,15
20,50,0,20,38,15
21,50,0,20,10,15
22,180,0,40,10,15
23,50,0,40,38,15
24,50,0,40,67,15
25,90,0,40,95,15
26,50,0,40,67,15
27,50,0,40,38,15
28,50,0,40,10,15
29,180,0,60,10,15
30,50,0,60,38,15
31,50,0,60,67,15
32,90,0,60,95,15
33,50,0,60,67,15
34,50,0,60,38,15
35,50,0,60,10,15
36,300,0,40,10,15
37,50,0,40,38,15
38,50,0,40,67,15
39,90,0,40,95,15
40,50,0,40,67,15
41,50,0,40,38,15
42,50,0,40,10,15
