aH96140243_20240117_Scion.csv,,,,,
Points,Soak,Assured,T_2900,FP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q
1,300,0,0.1,-25.2,20
2,90,0,0.1,-20,20
3,90,0,0.1,-15,20
4,90,0,0.1,-10,20
5,90,0,0.1,-5,20
6,150,0,0.1,-0.5,20
7,90,0,0.1,-15,20
8,180,0,20,-11.2,20
9,90,0,20,-5,20
10,90,0,20,-0.5,20
11,90,0,20,5,20
12,90,0,20,10,20
13,90,0,20,15,20
14,150,0,20,19.2,20
15,90,0,20,5,20
16,180,0,40,2.6,20
17,90,0,40,5,20
18,90,0,40,10,20
19,90,0,40,15,20
20,90,0,40,20,20
21,90,0,40,25,20
22,90,0,40,30,20
23,90,0,40,35,20
24,150,0,40,39,20
25,90,0,40,25,20
26,180,0,62,19,20
27,90,0,62,25,20
28,90,0,62,30,20
29,90,0,62,35,20
30,90,0,62,40,20
31,90,0,62,45,20
32,90,0,62,50,20
33,90,0,62,55,20
34,150,0,62,60.9,20
35,90,0,62,25,20
16,180,0,40,2.6,20
17,90,0,40,5,20
18,90,0,40,10,20
19,90,0,40,15,20
20,90,0,40,20,20
21,90,0,40,25,20
22,90,0,40,30,20
23,90,0,40,35,20
24,150,0,40,39,20
25,90,0,40,25,20
