aH96140249_NIWA_HMT337 ,,,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900,,
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,,
1,180,0,21,10,30,,14/03/2024 8:22
2,50,0,21,31,30,,
3,50,0,21,52,30,,
4,50,0,21,74,30,,
5,90,0,21,95,30,,
6,50,0,21,74,30,,
7,50,0,21,52,30,,
8,50,0,21,31,30,,
9,50,0,21,10,30,,
10,300,0,0.1,10,30,,
11,50,0,0.1,31,30,,
12,50,0,0.1,52,30,,
13,50,0,0.1,74,30,,
14,90,0,0.1,95,30,,
15,50,0,0.1,74,30,,
16,50,0,0.1,52,30,,
17,50,0,0.1,31,30,,
18,50,0,0.1,10,30,,
19,180,0,13,10,30,,
20,50,0,13,31,30,,
21,50,0,13,52,30,,
22,50,0,13,74,30,,
23,90,0,13,95,30,,
24,50,0,13,74,30,,
25,50,0,13,52,30,,
26,50,0,13,31,30,,
27,50,0,13,10,30,,
28,180,0,27,10,30,,
29,50,0,27,31,30,,
30,50,0,27,52,30,,
31,50,0,27,74,30,,
32,90,0,27,95,30,,
33,50,0,27,74,30,,
34,50,0,27,52,30,,
35,50,0,27,31,30,,
36,50,0,27,10,30,,
37,180,0,40,10,30,,
38,50,0,40,31,30,,
39,50,0,40,52,30,,
40,50,0,40,74,30,,
41,90,0,40,95,30,,
42,50,0,40,74,30,,
43,50,0,40,52,30,,
44,50,0,40,31,30,,
45,50,0,40,10,30,,
46,300,0,21,10,30,,
47,50,0,21,31,30,,
48,50,0,21,52,30,,
49,50,0,21,74,30,,
50,90,0,21,95,30,,
51,50,0,21,74,30,,
52,50,0,21,52,30,,
53,50,0,21,31,30,,
54,50,0,21,10,30,,
