aH96140260_WSP_MI70,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,20,10,20
2,50,0,20,27,20
3,50,0,20,44,20
4,50,0,20,61,20
5,50,0,20,78,20
6,90,0,20,95,20
7,50,0,20,78,20
8,50,0,20,61,20
9,50,0,20,44,20
10,50,0,20,27,20
11,9000,0,20,10,20
12,300,0,0.1,10,20
13,50,0,0.1,27,20
14,50,0,0.1,44,20
15,50,0,0.1,61,20
16,50,0,0.1,78,20
17,90,0,0.1,95,20
18,50,0,0.1,78,20
19,50,0,0.1,61,20
20,50,0,0.1,44,20
21,50,0,0.1,27,20
22,90,0,0.1,10,20
23,180,0,17.5,10,20
24,50,0,17.5,27,20
25,50,0,17.5,44,20
26,50,0,17.5,61,20
27,50,0,17.5,78,20
28,90,0,17.5,95,20
29,50,0,17.5,78,20
30,50,0,17.5,61,20
31,50,0,17.5,44,20
32,50,0,17.5,27,20
33,90,0,17.5,10,20
34,180,0,35,10,20
35,50,0,35,27,20
36,50,0,35,44,20
37,50,0,35,61,20
38,50,0,35,78,20
39,90,0,35,95,20
40,50,0,35,78,20
41,50,0,35,61,20
42,50,0,35,44,20
43,50,0,35,27,20
44,90,0,35,10,20
45,180,0,52.5,10,20
46,50,0,52.5,27,20
47,50,0,52.5,44,20
48,50,0,52.5,61,20
49,50,0,52.5,78,20
50,90,0,52.5,95,20
51,50,0,52.5,78,20
52,50,0,52.5,61,20
53,50,0,52.5,44,20
54,50,0,52.5,27,20
55,90,0,52.5,10,20
56,180,0,70,10,20
57,50,0,70,27,20
58,50,0,70,44,20
59,50,0,70,61,20
60,50,0,70,78,20
61,90,0,70,95,20
62,50,0,70,78,20
63,50,0,70,61,20
64,50,0,70,44,20
65,50,0,70,27,20
66,90,0,70,10,20
67,300,0,45,10,20
68,50,0,45,27,20
69,50,0,45,44,20
70,50,0,45,61,20
71,50,0,45,78,20
72,90,0,45,95,20
73,50,0,45,78,20
74,50,0,45,61,20
75,50,0,45,44,20
76,50,0,45,27,20
77,90,0,45,10,20
78,300,0,20,10,20
79,50,0,20,27,20
80,50,0,20,44,20
81,50,0,20,61,20
82,50,0,20,78,20
83,90,0,20,95,20
84,50,0,20,78,20
85,50,0,20,61,20
86,50,0,20,44,20
87,50,0,20,27,20
88,90,0,20,10,20
