aH96140261_MI70_biotec,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,t_bath
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1
1,300,0,22,-3.205984901,15,20
2,80,0,22,4.092819546,15,20
3,80,0,22,9.275542427,15,20
4,80,0,22,13.22948782,15,20
5,80,0,22,16.44837996,15,20
6,90,0,22,19.17491756,15,20
7,80,0,22,16.44837996,15,20
8,80,0,22,13.22948782,15,20
9,80,0,22,9.275542427,15,20
10,80,0,22,4.092819546,15,20
11,80,0,22,-3.205984901,15,20
12,30000,0,2,-18.23152899,15,0
13,80,0,2,-12.17638453,15,0
14,80,0,2,-8.164169331,15,0
15,80,0,2,-5.132843765,15,0
16,80,0,2,-2.683931962,15,0
17,120,0,2,-0.622816477,15,0
18,80,0,2,-2.683931962,15,0
19,80,0,2,-5.132843765,15,0
20,80,0,2,-8.164169331,15,0
21,80,0,2,-12.17638453,15,0
22,80,0,2,-18.23152899,15,0
23,300,0,2,-22.3044,15,-20
24,120,0,-10,-33.5,15,-20
25,80,0,-10,-30.48769604,15,-20
26,80,0,-10,-27.02340994,15,-20
27,80,0,-10,-24.41132854,15,-20
28,80,0,-10,-22.30442511,15,-20
29,120,0,2,-22.30442511,15,-20
30,120,0,2,-20.53345599,15,-20
31,80,0,2,-22.30442511,15,-20
32,120,0,-10,-22.30442511,15,-20
33,80,0,-10,-24.41132854,15,-20
34,80,0,-10,-27.02340994,15,-20
35,80,0,-10,-30.48769604,15,-20
36,80,0,-10,-33.5,15,-20
37,180,0,2,-18.23152899,15,0
38,80,0,2,-12.17638453,15,0
39,80,0,2,-8.164169331,15,0
40,80,0,2,-5.132843765,15,0
41,80,0,2,-2.683931962,15,0
42,120,0,2,-0.622816477,15,0
43,80,0,2,-2.683931962,15,0
44,80,0,2,-5.132843765,15,0
45,80,0,2,-8.164169331,15,0
46,80,0,2,-12.17638453,15,0
47,80,0,2,-18.23152899,15,0
48,180,0,22,-3.205984901,15,20
49,80,0,22,4.092819546,15,20
50,80,0,22,9.275542427,15,20
51,80,0,22,13.22948782,15,20
52,80,0,22,16.44837996,15,20
53,90,0,22,19.17491756,15,20
54,80,0,22,16.44837996,15,20
55,80,0,22,13.22948782,15,20
56,80,0,22,9.275542427,15,20
57,80,0,22,4.092819546,15,20
58,80,0,22,-3.205984901,15,20
59,180,0,42,12.79691046,15,40.35
60,80,0,42,21.63239356,15,40.35
61,80,0,42,27.59400884,15,40.35
62,80,0,42,32.15687275,15,40.35
63,80,0,42,35.88096937,15,40.35
64,90,0,42,39.04216112,15,40.35
65,80,0,42,35.88096937,15,40.35
66,80,0,42,32.15687275,15,40.35
67,80,0,42,27.59400884,15,40.35
68,80,0,42,21.63239356,15,40.35
69,80,0,42,12.79691046,15,40.35
70,180,0,62,28.94095531,15,60
71,80,0,62,38.97044468,15,60
72,80,0,62,45.76873695,15,60
73,80,0,62,50.98936767,15,60
74,80,0,62,55.2618603,15,60
75,90,0,62,58.8969861,15,60
76,80,0,62,55.2618603,15,60
77,80,0,62,50.98936767,15,60
78,80,0,62,45.76873695,15,60
79,80,0,62,38.97044468,15,60
80,80,0,62,28.94095531,15,60
81,300,0,42,12.79691046,15,40
82,80,0,42,21.63239356,15,40
83,80,0,42,27.59400884,15,40
84,80,0,42,32.15687275,15,40
85,80,0,42,35.88096937,15,40
86,90,0,42,39.04216112,15,40
87,80,0,42,35.88096937,15,40
88,80,0,42,32.15687275,15,40
89,80,0,42,27.59400884,15,40
90,80,0,42,21.63239356,15,40
91,80,0,42,12.79691046,15,40
92,180,0,-8,-26.95778,15,-10
93,80,0,-8,-21.31538557,15,-10
94,80,0,-8,-17.582,15,-10
95,180,0,2,-14.7642,15,-10
96,80,0,2,-12.4896,15,-10
97,80,0,2,-10.5765,15,-10
98,80,0,2,-12.4896,15,-10
99,80,0,2,-14.7642,15,-10
100,180,0,-8,-17.582,15,-10
101,80,0,-8,-21.31538557,15,-10
102,80,0,-8,-26.95778,15,-10
