aH96140261_MI70_biotec_2900,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,t_bath
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1
1,300,0,0,-18.231,20,20
2,50,0,0,-12.176,20,20
3,50,0,0,-8.164,20,20
4,50,0,0,-5.1328,20,20
5,50,0,0,-2.683,20,20
6,90,0,0,-0.622,10,20
7,50,0,0,-2.683,20,20
8,50,0,0,-5.1328,20,20
9,50,0,0,-8.164,20,20
10,50,0,0,-12.176,20,20
11,50,0,0,-18.231,20,20
12,180,0,20,-3.205,20,20
13,50,0,20,4.09,20,20
14,50,0,20,9.275,20,20
15,50,0,20,13.229,20,20
16,50,0,20,16.448,20,20
17,90,0,20,19.174,10,20
18,50,0,20,16.448,20,20
19,50,0,20,13.229,20,20
20,50,0,20,9.275,20,20
21,50,0,20,4.09,20,20
22,50,0,20,-3.205,20,20
23,180,0,40,12.79,20,20
24,50,0,40,21.63,20,20
25,50,0,40,27.594,20,20
26,50,0,40,32.1568,20,20
27,50,0,40,35.88,20,20
28,90,0,40,39.0421,10,20
29,50,0,40,35.88,20,20
30,50,0,40,32.1568,20,20
31,50,0,40,27.594,20,20
32,50,0,40,21.63,20,20
33,50,0,40,12.79,20,20
34,180,0,60,28.94,20,20
35,50,0,60,38.97,20,20
36,50,0,60,45.768,20,20
37,50,0,60,50.989,20,20
38,50,0,60,55.26,20,20
39,90,0,60,58.896,10,20
40,50,0,60,55.26,20,20
41,50,0,60,50.989,20,20
42,50,0,60,45.768,20,20
43,50,0,60,38.97,20,20
44,50,0,60,28.94,20,20
45,300,0,40,12.79,20,20
46,50,0,40,21.63,20,20
47,50,0,40,27.594,20,20
48,50,0,40,32.1568,20,20
49,50,0,40,35.88,20,20
50,90,0,40,39.0421,10,20
51,50,0,40,35.88,20,20
52,50,0,40,32.1568,20,20
53,50,0,40,27.594,20,20
54,50,0,40,21.63,20,20
55,50,0,40,12.79,20,20
56,300,0,20,-3.205,20,20
57,50,0,20,4.09,20,20
58,50,0,20,9.275,20,20
59,50,0,20,13.229,20,20
60,50,0,20,16.448,20,20
61,90,0,20,19.174,10,20
62,50,0,20,16.448,20,20
63,50,0,20,13.229,20,20
64,50,0,20,9.275,20,20
65,50,0,20,4.09,20,20
66,50,0,20,-3.205,20,20
67,300,0,0,-18.231,20,20
68,50,0,0,-12.176,20,20
69,50,0,0,-8.164,20,20
70,50,0,0,-5.1328,20,20
71,50,0,0,-2.683,20,20
72,90,0,0,-0.622,10,20
73,50,0,0,-2.683,20,20
74,50,0,0,-5.1328,20,20
75,50,0,0,-8.164,20,20
76,50,0,0,-12.176,20,20
77,50,0,0,-18.231,20,20
78,180,0,20,-3.205,20,20
79,50,0,20,4.09,20,20
80,50,0,20,9.275,20,20
81,50,0,20,13.229,20,20
82,50,0,20,16.448,20,20
83,90,0,20,19.174,10,20
84,50,0,20,16.448,20,20
85,50,0,20,13.229,20,20
86,50,0,20,9.275,20,20
87,50,0,20,4.09,20,20
88,50,0,20,-3.205,20,20
89,180,0,40,12.79,20,20
90,50,0,40,21.63,20,20
91,50,0,40,27.594,20,20
92,50,0,40,32.1568,20,20
93,50,0,40,35.88,20,20
94,90,0,40,39.0421,10,20
95,50,0,40,35.88,20,20
96,50,0,40,32.1568,20,20
97,50,0,40,27.594,20,20
98,50,0,40,21.63,20,20
99,50,0,40,12.79,20,20
100,180,0,60,28.94,20,20
101,50,0,60,38.97,20,20
102,50,0,60,45.768,20,20
103,50,0,60,50.989,20,20
104,50,0,60,55.26,20,20
105,90,0,60,58.896,10,20
106,50,0,60,55.26,20,20
107,50,0,60,50.989,20,20
108,50,0,60,45.768,20,20
109,50,0,60,38.97,20,20
110,50,0,60,28.94,20,20
111,300,0,40,12.79,20,20
112,50,0,40,21.63,20,20
113,50,0,40,27.594,20,20
114,50,0,40,32.1568,20,20
115,50,0,40,35.88,20,20
116,90,0,40,39.0421,10,20
117,50,0,40,35.88,20,20
118,50,0,40,32.1568,20,20
119,50,0,40,27.594,20,20
120,50,0,40,21.63,20,20
121,50,0,40,12.79,20,20
122,300,0,20,-3.205,20,20
123,50,0,20,4.09,20,20
124,50,0,20,9.275,20,20
125,50,0,20,13.229,20,20
126,50,0,20,16.448,20,20
127,90,0,20,19.174,10,20
128,50,0,20,16.448,20,20
129,50,0,20,13.229,20,20
130,50,0,20,9.275,20,20
131,50,0,20,4.09,20,20
132,50,0,20,-3.205,20,20
