aH96140261_MI70_biotec_2900_rh,,,,,
Points,Soak,Assured,t_2900,rh_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,300,0,0,20,20
2,50,0,0,35,20
3,50,0,0,50,20
4,50,0,0,65,20
5,50,0,0,80,20
6,90,0,0,95,10
7,50,0,0,80,20
8,50,0,0,65,20
9,50,0,0,50,20
10,50,0,0,35,20
11,50,0,0,20,20
12,180,0,20,20,20
13,50,0,20,35,20
14,50,0,20,50,20
15,50,0,20,65,20
16,50,0,20,80,20
17,90,0,20,95,10
18,50,0,20,80,20
19,50,0,20,65,20
20,50,0,20,50,20
21,50,0,20,35,20
22,50,0,20,20,20
23,180,0,40,20,20
24,50,0,40,35,20
25,50,0,40,50,20
26,50,0,40,65,20
27,50,0,40,80,20
28,90,0,40,95,10
29,50,0,40,80,20
30,50,0,40,65,20
31,50,0,40,50,20
32,50,0,40,35,20
33,50,0,40,20,20
34,180,0,60,20,20
35,50,0,60,35,20
36,50,0,60,50,20
37,50,0,60,65,20
38,50,0,60,80,20
39,90,0,60,95,10
40,50,0,60,80,20
41,50,0,60,65,20
42,50,0,60,50,20
43,50,0,60,35,20
44,50,0,60,20,20
45,300,0,40,20,20
46,50,0,40,35,20
47,50,0,40,50,20
48,50,0,40,65,20
49,50,0,40,80,20
50,90,0,40,95,10
51,50,0,40,80,20
52,50,0,40,65,20
53,50,0,40,50,20
54,50,0,40,35,20
55,50,0,40,20,20
56,300,0,20,20,20
57,50,0,20,35,20
58,50,0,20,50,20
59,50,0,20,65,20
60,50,0,20,80,20
61,90,0,20,95,10
62,50,0,20,80,20
63,50,0,20,65,20
64,50,0,20,50,20
65,50,0,20,35,20
66,50,0,20,20,20
67,300,0,0,20,20
68,50,0,0,35,20
69,50,0,0,50,20
70,50,0,0,65,20
71,50,0,0,80,20
72,90,0,0,95,10
73,50,0,0,80,20
74,50,0,0,65,20
75,50,0,0,50,20
76,50,0,0,35,20
77,50,0,0,20,20
78,180,0,20,20,20
79,50,0,20,35,20
80,50,0,20,50,20
81,50,0,20,65,20
82,50,0,20,80,20
83,90,0,20,95,10
84,50,0,20,80,20
85,50,0,20,65,20
86,50,0,20,50,20
87,50,0,20,35,20
88,50,0,20,20,20
89,180,0,40,20,20
90,50,0,40,35,20
91,50,0,40,50,20
92,50,0,40,65,20
93,50,0,40,80,20
94,90,0,40,95,10
95,50,0,40,80,20
96,50,0,40,65,20
97,50,0,40,50,20
98,50,0,40,35,20
99,50,0,40,20,20
100,180,0,60,20,20
101,50,0,60,35,20
102,50,0,60,50,20
103,50,0,60,65,20
104,50,0,60,80,20
105,90,0,60,95,10
106,50,0,60,80,20
107,50,0,60,65,20
108,50,0,60,50,20
109,50,0,60,35,20
110,50,0,60,20,20
111,300,0,40,20,20
112,50,0,40,35,20
113,50,0,40,50,20
114,50,0,40,65,20
115,50,0,40,80,20
116,90,0,40,95,10
117,50,0,40,80,20
118,50,0,40,65,20
119,50,0,40,50,20
120,50,0,40,35,20
121,50,0,40,20,20
122,300,0,20,20,20
123,50,0,20,35,20
124,50,0,20,50,20
125,50,0,20,65,20
126,50,0,20,80,20
127,90,0,20,95,10
128,50,0,20,80,20
129,50,0,20,65,20
130,50,0,20,50,20
131,50,0,20,35,20
132,50,0,20,20,20
