aH96140261_MI70_biotec_K3650019,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,t_bath
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1
1,300,0,22,-3.205984901,20,20
2,80,0,22,4.092819546,20,20
3,80,0,22,9.275542427,20,20
4,80,0,22,13.22948782,20,20
5,80,0,22,16.44837996,20,20
6,90,0,22,19.17491756,10,20
7,80,0,22,16.44837996,20,20
8,80,0,22,13.22948782,20,20
9,80,0,22,9.275542427,20,20
10,80,0,22,4.092819546,20,20
11,80,0,22,-3.205984901,20,20
12,300,0,2,-18.23152899,20,0
13,80,0,2,-12.17638453,20,0
14,80,0,2,-8.164169331,20,0
15,80,0,2,-5.132843765,20,0
16,80,0,2,-2.683931962,20,0
17,120,0,2,-0.622816477,10,0
18,80,0,2,-2.683931962,20,0
19,80,0,2,-5.132843765,20,0
20,80,0,2,-8.164169331,20,0
21,80,0,2,-12.17638453,20,0
22,80,0,2,-18.23152899,20,0
23,180,0,-8,-26.95778,20,-10
24,80,0,-8,-21.31538557,20,-10
25,80,0,-8,-17.582,20,-10
26,180,0,2,-14.7642,20,-10
27,80,0,2,-12.4896,20,-10
28,80,0,2,-10.5765,10,-10
29,80,0,2,-12.4896,20,-10
30,80,0,2,-14.7642,20,-10
31,180,0,-8,-17.582,20,-10
32,80,0,-8,-21.31538557,20,-10
33,80,0,-8,-26.95778,20,-10
34,300,0,2,-22.3044,20,-20
35,120,0,-10,-33.5,20,-20
36,80,0,-10,-30.48769604,20,-20
37,80,0,-10,-27.02340994,20,-20
38,80,0,-10,-24.41132854,20,-20
39,80,0,-10,-22.30442511,20,-20
40,120,0,2,-22.30442511,20,-20
41,120,0,2,-20.53345599,10,-20
42,80,0,2,-22.30442511,20,-20
43,120,0,-10,-22.30442511,20,-20
44,80,0,-10,-24.41132854,20,-20
45,80,0,-10,-27.02340994,20,-20
46,80,0,-10,-30.48769604,20,-20
47,80,0,-10,-33.5,20,-20
48,180,0,-8,-26.95778,20,-10
49,80,0,-8,-21.31538557,20,-10
50,80,0,-8,-17.582,20,-10
51,180,0,2,-14.7642,20,-10
52,80,0,2,-12.4896,20,-10
53,80,0,2,-10.5765,10,-10
54,80,0,2,-12.4896,20,-10
55,80,0,2,-14.7642,20,-10
56,180,0,-8,-17.582,20,-10
57,80,0,-8,-21.31538557,20,-10
58,80,0,-8,-26.95778,20,-10
59,180,0,2,-18.23152899,20,0
60,80,0,2,-12.17638453,20,0
61,80,0,2,-8.164169331,20,0
62,80,0,2,-5.132843765,20,0
63,80,0,2,-2.683931962,20,0
64,120,0,2,-0.622816477,10,0
65,80,0,2,-2.683931962,20,0
66,80,0,2,-5.132843765,20,0
67,80,0,2,-8.164169331,20,0
68,80,0,2,-12.17638453,20,0
69,80,0,2,-18.23152899,20,0
70,180,0,22,-3.205984901,20,20
71,80,0,22,4.092819546,20,20
72,80,0,22,9.275542427,20,20
73,80,0,22,13.22948782,20,20
74,80,0,22,16.44837996,20,20
75,90,0,22,19.17491756,10,20
76,80,0,22,16.44837996,20,20
77,80,0,22,13.22948782,20,20
78,80,0,22,9.275542427,20,20
79,80,0,22,4.092819546,20,20
80,80,0,22,-3.205984901,20,20
81,180,0,42,12.79691046,20,40
82,80,0,42,21.63239356,20,40
83,80,0,42,27.59400884,20,40
84,80,0,42,32.15687275,20,40
85,80,0,42,35.88096937,20,40
86,90,0,42,39.04216112,10,40
87,80,0,42,35.88096937,20,40
88,80,0,42,32.15687275,20,40
89,80,0,42,27.59400884,20,40
90,80,0,42,21.63239356,20,40
91,80,0,42,12.79691046,20,40
92,180,0,62,28.94095531,20,60
93,80,0,62,38.97044468,20,60
94,80,0,62,45.76873695,20,60
95,80,0,62,50.98936767,20,60
96,80,0,62,55.2618603,20,60
97,90,0,62,58.8969861,10,60
98,80,0,62,55.2618603,20,60
99,80,0,62,50.98936767,20,60
100,80,0,62,45.76873695,20,60
101,80,0,62,38.97044468,20,60
102,80,0,62,28.94095531,20,60
103,300,0,42,12.79691046,20,40
104,80,0,42,21.63239356,20,40
105,80,0,42,27.59400884,20,40
106,80,0,42,32.15687275,20,40
107,80,0,42,35.88096937,20,40
108,90,0,42,39.04216112,10,40
109,80,0,42,35.88096937,20,40
110,80,0,42,32.15687275,20,40
111,80,0,42,27.59400884,20,40
112,80,0,42,21.63239356,20,40
113,80,0,42,12.79691046,20,40
