aH96140261_MI70_biotec_K3650019_h_exh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,PC200.SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,300,0,22,-3.206,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,80,0,22,4.093,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,80,0,22,9.275,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,80,0,22,13.229,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,80,0,22,16.448,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90,0,22,19.175,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,80,0,22,16.448,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,80,0,22,13.229,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,80,0,22,9.275,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,80,0,22,4.093,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,80,0,22,-3.206,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,300,0,2,-18.231,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,80,0,2,-12.175,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,80,0,2,-8.163,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,80,0,2,-5.132,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,80,0,2,-2.683,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,120,0,2,-0.520279996,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,80,0,2,-2.683,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,80,0,2,-5.132,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,80,0,2,-8.163,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,80,0,2,-12.175,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,80,0,2,-18.231,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,180,0,-8,-25.992,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,80,0,-8,-20.305,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,80,0,2,-16.541,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,180,0,2,-13.7,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,80,0,2,-11.406,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,150,0,2,-10.08724189,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,80,0,2,-11.406,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,80,0,2,-13.7,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,80,0,2,-16.541,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,80,0,2,-20.305,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,80,0,-8,-25.992,20,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
