aH96140261_MI70_biotec_K3650019,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,t_bath
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1
1,300,0,22,-3.206,20,20
2,80,0,22,4.093,20,20
3,80,0,22,9.275,20,20
4,80,0,22,13.229,20,20
5,80,0,22,16.448,20,20
6,90,0,22,19.175,10,20
7,80,0,22,16.448,20,20
8,80,0,22,13.229,20,20
9,80,0,22,9.275,20,20
10,80,0,22,4.093,20,20
11,80,0,22,-3.206,20,20
12,300,0,2,-18.231,20,0
13,80,0,2,-12.175,20,0
14,80,0,2,-8.163,20,0
15,80,0,2,-5.132,20,0
16,80,0,2,-2.683,20,0
17,120,0,2,-0.622,10,0
18,80,0,2,-2.683,20,0
19,80,0,2,-5.132,20,0
20,80,0,2,-8.163,20,0
21,80,0,2,-12.175,20,0
22,80,0,2,-18.231,20,0
23,180,0,-8,-25.992,20,-10
24,80,0,-8,-20.305,20,-10
25,80,0,-8,-16.541,20,-10
26,180,0,2,-13.7,20,-10
27,80,0,2,-11.406,20,-10
28,80,0,2,-10.8,10,-10
29,80,0,2,-11.406,20,-10
30,80,0,2,-13.7,20,-10
31,80,0,2,-16.541,20,-10
32,180,0,-8,-20.305,20,-10
33,80,0,-8,-25.992,20,-10
34,150,0,2,-22,20,-20
35,120,0,-10,-33.91,20,-20
36,80,0,-10,-28.59,20,-20
37,80,0,-10,-25.07,20,-20
38,120,0,2,-22.423,20,-20
39,80,0,2,-21,10,-20
40,80,0,2,-22.423,20,-20
41,120,0,-10,-25.07,20,-20
42,80,0,-10,-28.59,20,-20
43,80,0,-10,-33.91,20,-20
44,150,0,2,-22,20,-10
45,180,0,-8,-25.992,20,-10
46,80,0,-8,-20.305,20,-10
47,180,0,2,-16.541,20,-10
48,80,0,2,-13.7,20,-10
49,80,0,2,-11.406,20,-10
50,80,0,2,-10.8,10,-10
51,80,0,2,-11.406,20,-10
52,80,0,2,-13.7,20,-10
53,80,0,2,-16.541,20,-10
54,180,0,-8,-20.305,20,-10
55,80,0,-8,-25.992,20,-10
56,180,0,2,-18.231,20,0
57,80,0,2,-12.175,20,0
58,80,0,2,-8.163,20,0
59,80,0,2,-5.132,20,0
60,80,0,2,-2.683,20,0
61,120,0,2,-0.622,10,0
62,80,0,2,-2.683,20,0
63,80,0,2,-5.132,20,0
64,80,0,2,-8.163,20,0
65,80,0,2,-12.175,20,0
66,80,0,2,-18.231,20,0
67,180,0,22,-3.206,20,20
68,80,0,22,4.093,20,20
69,80,0,22,9.275,20,20
70,80,0,22,13.229,20,20
71,80,0,22,16.448,20,20
72,90,0,22,19.175,10,20
73,80,0,22,16.448,20,20
74,80,0,22,13.229,20,20
75,80,0,22,9.275,20,20
76,80,0,22,4.093,20,20
77,80,0,22,-3.206,20,20
78,180,0,42,12.797,20,40
79,80,0,42,21.632,20,40
80,80,0,42,27.594,20,40
81,80,0,42,32.157,20,40
82,80,0,42,35.881,20,40
83,90,0,42,39.042,10,40
84,80,0,42,35.881,20,40
85,80,0,42,32.157,20,40
86,80,0,42,27.594,20,40
87,80,0,42,21.632,20,40
88,80,0,42,12.797,20,40
89,180,0,62,28.941,20,60
90,80,0,62,38.971,20,60
91,80,0,62,45.769,20,60
92,80,0,62,50.989,20,60
93,80,0,62,55.262,20,60
94,90,0,62,58.897,10,60
95,80,0,62,55.262,20,60
96,80,0,62,50.989,20,60
97,80,0,62,45.769,20,60
98,80,0,62,38.971,20,60
99,80,0,62,28.941,20,60
100,300,0,42,12.797,20,40
101,80,0,42,21.632,20,40
102,80,0,42,27.594,20,40
103,80,0,42,32.157,20,40
104,80,0,42,35.881,20,40
105,90,0,42,39.042,10,40
106,80,0,42,35.881,20,40
107,80,0,42,32.157,20,40
108,80,0,42,27.594,20,40
109,80,0,42,21.632,20,40
110,80,0,42,12.797,20,40
111,300,0,22,-3.206,20,20
112,80,0,22,4.093,20,20
113,80,0,22,9.275,20,20
114,80,0,22,13.229,20,20
115,80,0,22,16.448,20,20
116,90,0,22,19.175,10,20
117,80,0,22,16.448,20,20
118,80,0,22,13.229,20,20
119,80,0,22,9.275,20,20
120,80,0,22,4.093,20,20
121,80,0,22,-3.206,20,20
