aH96140253_FP_Optidew.csv,,,,,,
Points,Soak,Assured,t_2500,rh_pt_2500,rh_p_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_rh_pc,HG2500.set_q
1,50,0,21,26.4,,15
2,100,0,21,,26.4,15
3,20,0,21,44,,15
4,40,0,21,,44,15
5,20,0,21,61,,15
6,40,0,21,,61,15
7,20,0,21,78,,15
8,40,0,21,,78,15
9,30,0,21,95,,15
10,60,0,21,,95,15
11,50,0,31,14.6,,15
12,100,0,31,,14.6,15
13,20,0,31,27,,15
14,40,0,31,,27,15
15,20,0,31,44,,15
16,40,0,31,,44,15
17,20,0,31,61,,15
18,40,0,31,,61,15
19,20,0,31,78,,15
20,40,0,31,,78,15
21,30,0,31,95,,15
22,60,0,31,,95,15
23,50,0,41,10,,15
24,100,0,41,,10,15
25,20,0,41,27,,15
26,40,0,41,,27,15
27,20,0,41,44,,15
28,40,0,41,,44,15
29,20,0,41,61,,15
30,40,0,41,,61,15
31,20,0,41,78,,15
32,40,0,41,,78,15
33,30,0,41,95,,15
34,60,0,41,,95,15
35,50,0,51,10,,15
36,100,0,51,,10,15
37,20,0,51,27,,15
38,40,0,51,,27,15
39,20,0,51,44,,15
40,40,0,51,,44,15
41,20,0,51,61,,15
42,40,0,51,,61,15
43,20,0,51,78,,15
44,40,0,51,,78,15
45,30,0,51,95,,15
46,60,0,51,,95,15
47,200,0,21,26.4,,15
48,100,0,21,,26.4,15
49,20,0,21,44,,15
50,40,0,21,,44,15
51,20,0,21,61,,15
52,40,0,21,,61,15
53,20,0,21,78,,15
54,40,0,21,,78,15
55,30,0,21,95,,15
56,60,0,21,,95,15
57,20,0,21,26.4,,15
58,300,0,21,,26.4,15
