aH96140262_FP_Optidew_rh.csv,,,,,
Points,Soak,Assured,t_2900,rh_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,21,26.7,20
2,50,0,21,35.5,20
3,50,0,21,50.0,20
4,50,0,21,69.4,20
5,90,0,21,95.2,10
6,50,0,21,69.4,20
7,50,0,21,50.0,20
8,50,0,21,35.5,20
9,50,0,21,26.7,20
10,180,0,31,14.8,20
11,50,0,31,19.6,20
12,50,0,31,27.6,20
13,50,0,31,38.4,20
14,50,0,31,52.6,20
15,50,0,31,71.3,20
16,90,0,31,95.5,10
17,50,0,31,71.3,20
18,50,0,31,52.6,20
19,50,0,31,38.4,20
20,50,0,31,27.6,20
21,50,0,31,19.6,20
22,50,0,31,14.8,20
23,180,0,41,11.3,20
24,50,0,41,15.9,20
25,50,0,41,22.1,20
26,50,0,41,30.3,20
27,50,0,41,41.1,20
28,50,0,41,55.1,20
29,50,0,41,73.0,20
30,90,0,41,95.8,10
31,50,0,41,73.0,20
32,50,0,41,55.1,20
33,50,0,41,41.1,20
34,50,0,41,30.3,20
35,50,0,41,22.1,20
36,50,0,41,15.9,20
37,50,0,41,11.3,20
38,180,0,51,10.2,20
39,50,0,51,13.3,20
40,50,0,51,18.2,20
41,50,0,51,24.6,20
42,50,0,51,33.0,20
43,50,0,51,43.8,20
44,50,0,51,57.4,20
45,50,0,51,74.6,20
46,90,0,51,96.1,10
47,50,0,51,74.6,20
48,50,0,51,57.4,20
49,50,0,51,43.8,20
50,50,0,51,33.0,20
51,50,0,51,24.6,20
52,50,0,51,18.2,20
53,50,0,51,13.3,20
54,50,0,51,10.2,20
55,300,0,21,26.7,20
56,50,0,21,35.5,20
57,50,0,21,50.0,20
58,50,0,21,69.4,20
59,90,0,21,95.2,10
60,50,0,21,69.4,20
61,50,0,21,50.0,20
62,50,0,21,35.5,20
63,50,0,21,26.7,20
