 aH96140270_Edgetech_Dewmasterrun2,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pc,HG2500.set_q
1,180,0,21,10,20
2,60,0,21,12,20
2,60,0,21,14,20
3,60,0,21,16,20
4,60,0,21,18,20
5,60,0,21,20,20
6,60,0,21,25,20
7,60,0,21,30,20
8,60,0,21,35,20
9,60,0,21,40,20
10,60,0,21,45,20
11,60,0,21,50,20
12,60,0,21,55,20
13,60,0,21,60,20
14,60,0,21,65,20
15,60,0,21,70,20
16,60,0,21,75,20
17,60,0,21,80,20
18,60,0,21,85,20
19,60,0,21,90,20
20,60,0,21,95,10
21,60,0,21,90,20
22,60,0,21,85,20
23,60,0,21,80,20
24,60,0,21,75,20
25,60,0,21,70,20
26,60,0,21,65,20
27,60,0,21,60,20
28,60,0,21,55,20
29,60,0,21,50,20
30,60,0,21,45,20
31,60,0,21,40,20
32,60,0,21,35,20
33,60,0,21,30,20
34,60,0,21,25,20
35,60,0,21,20,20
36,60,0,21,18,20
37,60,0,21,16,20
38,60,0,21,14,20
39,60,0,21,12,20
40,60,0,21,10,20
