aH96140267_MSL_Humidity_STDs_473s.csv,,,,,
Points,Soak,Assured,T_2900,DP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_dp,HG2900.set_q
1,120,0,-10,-28.78,20
2,50,0,-10,-22.6,20
3,50,0,-10,16.43,20
4,50,0,-10,-10.25,20
5,50,0,-10,-20.26,20
6,180,0,10,-20.26,20
7,50,0,10,-10.27,20
8,50,0,10,-0.29,20
9,50,0,10,9.7,20
10,50,0,10,-4.9,20
11,180,0,30,-4.9,20
12,50,0,30,6.61,20
13,50,0,30,18.13,20
14,50,0,30,29.64,20
15,50,0,30,10.1,20
16,180,0,50,10.1,20
17,50,0,50,23.26,20
18,50,0,50,36.43,20
19,50,0,50,49.59,20
20,50,0,50,24.76,20
21,180,0,70,24.76,20
22,50,0,70,39.68,20
23,50,0,70,54.61,20
24,50,0,70,69.53,20
25,50,0,72,70,20
26,180,0,60,59.56,20
27,50,0,60,38.52,20
28,50,0,60,17.48,20
29,50,0,50,17.48,20
30,180,0,40,39.62,20
31,50,0,40,21.13,20
32,50,0,40,2.64,20
33,50,0,40,2.64,20
34,180,0,20,19.67,20
35,50,0,20,3.57,20
36,50,0,20,-12.54,20
37,50,0,20,-0.27,20
38,90,0,0,-0.27,20
39,50,0,0,-14.17,20
40,50,0,0,-28.07,20
41,50,0,0,-12.54,20
45,10000,0,20,-12.54,20
