aH96140268_LengthSTDs_Omegas,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,15,30,15
2,50,0,15,40,15
3,50,0,15,50,15
4,50,0,15,60,15
5,50,0,15,70,15
6,90,0,15,80,15
7,50,0,15,70,15
8,50,0,15,60,15
9,50,0,15,50,15
10,50,0,15,40,15
11,90,0,15,30,15
12,180,0,20,30,15
13,50,0,20,40,15
14,50,0,20,50,15
15,50,0,20,60,15
16,50,0,20,70,15
17,90,0,20,80,15
18,50,0,20,70,15
19,50,0,20,60,15
20,50,0,20,50,15
21,50,0,20,40,15
22,90,0,20,30,15
23,180,0,25,30,15
24,50,0,25,40,15
25,50,0,25,50,15
26,50,0,25,60,15
27,50,0,25,70,15
28,90,0,25,80,15
29,50,0,25,70,15
30,50,0,25,60,15
31,50,0,25,50,15
32,50,0,25,40,15
33,90,0,25,30,15
34,180,0,30,30,15
35,50,0,30,40,15
36,50,0,30,50,15
37,50,0,30,60,15
38,50,0,30,70,15
39,90,0,30,80,15
40,50,0,30,70,15
41,50,0,30,60,15
42,50,0,30,50,15
43,50,0,30,40,15
44,90,0,30,30,15
45,180,0,25,30,15
46,50,0,25,40,15
47,50,0,25,50,15
48,50,0,25,60,15
49,50,0,25,70,15
50,90,0,25,80,15
51,50,0,25,70,15
52,50,0,25,60,15
53,50,0,25,50,15
54,50,0,25,40,15
55,90,0,25,30,15
56,180,0,20,30,15
57,50,0,20,40,15
58,50,0,20,50,15
59,50,0,20,60,15
60,50,0,20,70,15
61,90,0,20,80,15
62,50,0,20,70,15
63,50,0,20,60,15
64,50,0,20,50,15
65,50,0,20,40,15
66,90,0,20,30,15
