aH96140275_TechRentals473_2500,,,,,,,
Points,Soak,Assured,t_2500,rh_2500,Q_2500,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,
1,300,0,5,10,20,,
2,50,0,5,31,20,,
3,50,0,5,52,20,,
4,50,0,5,74,20,,
5,90,0,5,95,20,,
6,50,0,5,74,20,,
7,50,0,5,52,20,,
8,50,0,5,31,20,,
9,50,0,5,10,20,,
10,180,0,20,10,20,,
11,50,0,20,31,20,,
12,50,0,20,52,20,,
13,50,0,20,74,20,,
14,90,0,20,95,20,,
15,50,0,20,74,20,,
16,50,0,20,52,20,,
17,50,0,20,31,20,,
18,50,0,20,10,20,,
19,180,0,35,10,20,,
20,50,0,35,31,20,,
21,50,0,35,52,20,,
22,50,0,35,74,20,,
23,90,0,35,95,20,,
24,50,0,35,74,20,,
25,50,0,35,52,20,,
26,50,0,35,31,20,,
27,50,0,35,10,20,,
28,180,0,50,10,20,,
29,50,0,50,31,20,,
30,50,0,50,52,20,,
31,50,0,50,74,20,,
32,90,0,50,95,20,,
33,50,0,50,74,20,,
34,50,0,50,52,20,,
35,50,0,50,31,20,,
36,50,0,50,10,20,,
37,300,0,20,10,20,,
38,50,0,20,31,20,,
39,50,0,20,52,20,,
40,50,0,20,74,20,,
41,90,0,20,95,20,,
42,50,0,20,74,20,,
43,50,0,20,52,20,,
44,50,0,20,31,20,,
45,50,0,20,10,20,,
