aH96140280_Total_Calibrations,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,300,0,10,10,15
2,50,0,10,26,15
3,50,0,10,42,15
4,50,0,10,58,15
5,50,0,10,74,15
6,90,0,10,90,15
7,50,0,10,74,15
8,50,0,10,58,15
9,50,0,10,42,15
10,50,0,10,26,15
11,50,0,10,10,15
12,180,0,20,10,15
13,50,0,20,26,15
14,50,0,20,42,15
15,50,0,20,58,15
16,50,0,20,74,15
17,90,0,20,90,15
18,50,0,20,74,15
19,50,0,20,58,15
20,50,0,20,42,15
21,50,0,20,26,15
22,50,0,20,10,15
23,180,0,30,10,15
24,50,0,30,26,15
25,50,0,30,42,15
26,50,0,30,58,15
27,50,0,30,74,15
28,90,0,30,90,15
29,50,0,30,74,15
30,50,0,30,58,15
31,50,0,30,42,15
32,50,0,30,26,15
33,50,0,30,10,15
34,180,0,40,10,15
35,50,0,40,26,15
36,50,0,40,42,15
37,50,0,40,58,15
38,50,0,40,74,15
39,90,0,40,90,15
40,50,0,40,74,15
41,50,0,40,58,15
42,50,0,40,42,15
43,50,0,40,26,15
44,50,0,40,10,15
45,180,0,50,10,15
46,50,0,50,26,15
47,50,0,50,42,15
48,50,0,50,58,15
49,50,0,50,74,15
50,90,0,50,90,15
51,50,0,50,74,15
52,50,0,50,58,15
53,50,0,50,42,15
54,50,0,50,26,15
55,50,0,50,10,15
56,180,0,60,10,15
57,50,0,60,26,15
58,50,0,60,42,15
59,50,0,60,58,15
60,50,0,60,74,15
61,90,0,60,90,15
62,50,0,60,74,15
63,50,0,60,58,15
64,50,0,60,42,15
65,50,0,60,26,15
66,50,0,60,10,15
67,300,0,40,10,15
68,50,0,40,26,15
69,50,0,40,42,15
70,50,0,40,58,15
71,50,0,40,74,15
72,90,0,40,90,15
73,50,0,40,74,15
74,50,0,40,58,15
75,50,0,40,42,15
76,50,0,40,26,15
77,50,0,40,10,15
78,300,0,20,10,15
79,50,0,20,26,15
80,50,0,20,42,15
81,50,0,20,58,15
82,50,0,20,74,15
83,90,0,20,90,15
84,50,0,20,74,15
85,50,0,20,58,15
86,50,0,20,42,15
87,50,0,20,26,15
88,50,0,20,10,15
