atest2900stability.csv,,,,,
Points,Soak,Assured,t_2900,rh_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,21,10,30
2,50,0,21,30,30
3,50,0,21,50,30
4,50,0,21,70,30
5,50,0,21,50,30
6,50,0,21,30,30
7,50,0,21,10,30
8,300,0,1,10,30
9,50,0,1,30,30
10,50,0,1,50,30
11,50,0,1,70,30
12,50,0,1,50,30
13,50,0,1,30,30
14,50,0,1,10,30
15,180,0,45,10,30
16,50,0,45,30,30
17,50,0,45,50,30
18,50,0,45,70,30
19,50,0,45,50,30
20,50,0,45,30,30
21,50,0,45,10,30
22,180,0,70,10,30
23,50,0,70,30,30
24,50,0,70,50,30
25,50,0,70,70,30
26,50,0,70,50,30
27,50,0,70,30,30
28,50,0,70,10,30
29,300,0,21,10,10
30,50,0,21,30,10
31,50,0,21,50,10
32,50,0,21,70,10
33,50,0,21,50,10
34,50,0,21,30,10
35,50,0,21,10,10
36,300,0,1,10,10
37,50,0,1,30,10
38,50,0,1,50,10
39,50,0,1,70,10
40,50,0,1,50,10
41,50,0,1,30,10
42,50,0,1,10,10
43,180,0,45,10,10
44,50,0,45,30,10
45,50,0,45,50,10
46,50,0,45,70,10
47,50,0,45,50,10
48,50,0,45,30,10
49,50,0,45,10,10
50,180,0,70,10,10
51,50,0,70,30,10
52,50,0,70,50,10
53,50,0,70,70,10
54,50,0,70,50,10
55,50,0,70,30,10
56,50,0,70,10,10
