210621_iPAC_473_RP2
comment
no.	runtime	datetime	RH @PcTc	saturation pressure	chamber pressure	saturation pressure	chamber pressure	flow rate	Ts2500#1 SIL010 c11	Ts2500#2 SIL035 c19	PsDruck#1 0-20 h118	PoDruck#2 0-3b h119	PoDruck#3 0-3b h120	P MSL473_SH2	Tc SIL019 c12	Tc SIL057 c13	Tc SIL058 c14	Tc SIL020 c15	Tc SIL012 c17	Tx MSL473_SHX	Tx DUT473_RP2	DP MSL473_SH2	DP DUT473_RP2	FP MSL473_SH2	FP DUT473_RP2	Tm MSL473_SH2	Tm DUT473_RP2	RH DUT473_RP2	Th MSL473_SHX	Th DUT473_RP2	Tamb SIL039 c20
1	6.155988454818726	2021-06-25 10:44:57	100.0	14.2209	14.71	22.5904	22.6167	0.41928	108.86	108.819	0.50792435	2.9148722	2.9276063	0	108.813	108.806	108.799	108.835	108.828	22.6004	22.6157	23.0292	22.302	23.0334	22.3023	23.0312	22.3022	98.1114	20.5947	22.5598	107.91
2	72.95029807090759	2021-06-25 10:46:04	100.0	14.2269	14.71	22.5905	22.6168	0.40461	108.86	108.819	0.50791504	2.9148147	2.9275506	0	108.81	108.808	108.797	108.836	108.829	22.601	22.6164	23.0226	22.3043	23.0232	22.3045	23.021	22.3046	98.1216	20.5945	22.5612	107.921
3	139.80161905288696	2021-06-25 10:47:11	100.0	14.2209	14.708	22.5911	22.6174	0.38342	108.859	108.82	0.50790067	2.9147295	2.9274549	0	108.814	108.808	108.799	108.835	108.828	22.6014	22.6166	23.0286	22.306	23.0267	22.3064	23.0246	22.3067	98.1316	20.5944	22.5628	107.918
4	206.55315041542053	2021-06-25 10:48:18	100.0	14.2269	14.71	22.5913	22.6176	0.3769	108.859	108.82	0.50794591	2.914954	2.9276787	0	108.814	108.807	108.799	108.838	108.831	22.6019	22.6171	23.0288	22.3081	23.0278	22.3085	23.0301	22.3086	98.14	20.5945	22.5645	107.925
5	273.31708669662476	2021-06-25 10:49:25	100.0	14.2269	14.712	22.5821	22.6184	0.36875	108.858	108.821	0.50799015	2.9151396	2.9277832	0	108.813	108.808	108.799	108.838	108.828	22.6025	22.6177	23.0249	22.3099	23.0236	22.3099	23.0288	22.3102	98.1479	20.5944	22.5661	107.911
6	340.09993720054626	2021-06-25 10:50:31	100.0	14.2209	14.71	22.5817	22.6181	0.36386	108.859	108.821	0.50795399	2.9150142	2.9276882	0	108.814	108.81	108.799	108.839	108.83	22.6027	22.6182	23.0247	22.3119	23.0238	22.3118	23.0272	22.3118	98.1555	20.5945	22.5678	107.926
7	406.8662006855011	2021-06-25 10:51:38	100.0	14.2269	14.712	22.572	22.6183	0.37201	108.858	108.82	0.5079877	2.9151965	2.9278766	0	108.813	108.81	108.798	108.838	108.83	22.6034	22.6186	23.0238	22.3136	23.023	22.3137	23.0217	22.3139	98.1629	20.5943	22.5692	107.924
8	473.6212091445923	2021-06-25 10:52:45	100.0	14.2269	14.71	22.5822	22.6185	0.37201	108.859	108.82	0.50796458	2.9151192	2.9277926	0	108.814	108.808	108.799	108.838	108.83	22.6039	22.6193	23.0232	22.3152	23.0231	22.3154	23.0227	22.3155	98.1708	20.5945	22.5705	107.933
9	540.4041492938995	2021-06-25 10:53:52	100.0	14.2209	14.708	22.5817	22.6181	0.37201	108.858	108.82	0.50787726	2.9146169	2.9272951	0	108.815	108.809	108.801	108.838	108.832	22.6039	22.6195	23.022	22.3171	23.0217	22.3172	23.0213	22.3171	98.1776	20.5944	22.5723	107.936
10	607.1787850856781	2021-06-25 10:54:58	100.0	14.2209	14.708	22.5712	22.6276	0.36875	108.86	108.82	0.50790167	2.9146433	2.9273073	0	108.814	108.809	108.801	108.837	108.832	22.6043	22.6198	23.024	22.3187	23.0227	22.3185	23.0221	22.3187	98.1857	20.5943	22.5736	107.92
